,x_coord,y_coord,BillNo,BillName,cluster_no
0,-6.0496497,-27.586233,2024549,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
1,4.367957,-21.91042,2024556,  검역법 일부개정법률안,2
2,-2.4154255,-24.778215,2024555,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
3,-5.06443,-18.792486,2024582,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
4,-9.230567,-24.523901,2024584,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
5,-1.8423427,-28.220062,2024596,  학교보건법 일부개정법률안,2
6,-5.918168,-27.353436,2024597,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
7,-3.0093315,-9.655509,2024612,  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안,2
8,-2.2327957,-21.379997,2024611,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
9,3.6788044,-18.045954,2024626,  중소기업진흥에 관한 법률 일부개정법률안,2
10,-3.9078646,-18.311365,2024634,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
11,2.7709613,-12.748052,2024650,  물가안정에 관한 법률 일부개정법률안,2
12,0.60833645,-20.546553,2024654,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
13,17.32067,21.12222,2024655,  조세특례제한법 일부개정법률안,0
14,18.31047,9.531867,2024788,  조세특례제한법 일부개정법률안,0
15,6.3658204,-19.02575,2024787,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
16,-0.6263184,-20.526636,2024789,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
17,16.776642,8.624048,2024804,  조세특례제한법 일부개정법률안,0
18,16.675735,11.653769,2024805,  조세특례제한법 일부개정법률안,0
19,18.941763,8.820974,2024803,  지방세특례제한법 일부개정법률안,0
20,23.691475,25.573473,2024811,  부가가치세법 일부개정법률안,0
21,16.859632,21.21191,2024814,  조세특례제한법 일부개정법률안,0
22,-2.6738684,-20.178316,2024816,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
23,1.7032696,-18.074148,2024821,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
24,9.445881,-6.1380377,2024828,  영화 및 비디오물의 진흥에 관한 법률 일부개정법률안,2
25,-11.560961,-0.28915414,2024831,  재난 및 안전관리 기본법 일부개정법률안,2
26,4.270056,7.5032663,2024832,  근로복지기본법 일부개정법률안,2
27,-3.5023282,-15.066081,2024833,  재난 및 안전관리 기본법 일부개정법률안,2
28,14.9964285,13.808764,2024851,  조세특례제한법 일부개정법률안,0
29,-9.146472,-18.164782,2024863,  조세특례제한법 일부개정법률안,2
30,19.121141,20.945662,2024871,  부가가치세법 일부개정법률안,0
31,19.76363,25.155947,2024872,  조세특례제한법 일부개정법률안,0
32,15.905791,13.606477,2024873,  조세특례제한법 일부개정법률안,0
33,-0.6836822,-18.668425,2100038,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
34,-18.758226,10.473102,2100048,  출입국관리법 일부개정법률안,2
35,21.867874,23.18357,2100049,  부가가치세법 일부개정법률안,0
36,-3.8908198,-14.284522,2100033,  정부조직법 일부개정법률안,2
37,-4.5474553,-13.024911,2100002,  정부조직법 일부개정법률안,2
38,-6.907469,-22.789276,2100004,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
39,-18.583345,-15.236219,2100005,  고등교육법 일부개정법률안,2
40,3.2214146,-7.445971,2100006,  농업·농촌 및 식품산업 기본법 일부개정법률안,2
41,2.0248635,-8.456405,2100007,  양곡관리법 일부개정법률안,2
42,-1.6275785,-11.10537,2100009,  약관의 규제에 관한 법률 일부개정법률안,2
43,2.1886322,-15.992274,2100010,  상가건물 임대차보호법 일부개정법률안,2
44,14.035293,16.585163,2100011,  조세특례제한법 일부개정법률안,0
45,16.965303,4.159426,2100116,  소상공인 보호 및 지원에 관한 법률 일부개정법률안,2
46,-15.402242,12.124622,2100119,  국유재산특례제한법 일부개정법률안,2
47,-5.797754,-13.886902,2100087,  정부조직법 일부개정법률안,2
48,7.828304,-4.36048,2100160,  물가안정에 관한 법률 일부개정법률안,2
49,-5.38574,-0.22267875,2100166,  공중보건 위기대응 의약품 개발 및 지원에 관한 법률안,2
50,-2.964838,-9.603196,2100170,  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안,2
51,15.224671,11.12987,2100171,  조세특례제한법 일부개정법률안,2
52,21.131626,5.7291865,2100173,  상가건물 임대차보호법 일부개정법률안,2
53,20.988516,5.341408,2100174,  주택임대차보호법 일부개정법률안,2
54,2.3869395,-1.1718441,2100229,  국가재정법 일부개정법률안,2
55,-1.8351855,-28.2287,2100225,  학교보건법 일부개정법률안,2
56,2.7709107,-12.748224,2100208,  물가안정에 관한 법률 일부개정법률안,2
57,20.159363,24.225542,2100191,  조세특례제한법 일부개정법률안,0
58,-7.629751,-0.8733542,2100198,  국립공공보건의료대학 설립 및 운영에 관한 법률안,2
59,4.4666605,-14.935794,2100194,  응급의료에 관한 법률 일부개정법률안,2
60,-17.389132,14.071226,2100200,  국유재산특례제한법 일부개정법률안,2
61,13.504816,14.481303,2100270,  조세특례제한법 일부개정법률안,0
62,22.342678,24.678692,2100281,  부가가치세법 일부개정법률안,0
